BDCHM Element	Variable Label	Data Type	UCUM Unit	CURIE	Variable Description
Measurement Observation	8-epi-PGF2a in urine	decimal	pg/mL	OMOP:3011888	Concentration of 8-epi-prostaglandin F2 alpha in urine
Measurement Observation	Activity LP-PLA2 in blood	decimal	nmol/min/mL	OMOP:36305170	Measurement of the activity of the Lp-PLA2 (lipoprotein-associated phospholipase A2) enzyme in serum or plasma.
Measurement Observation	AHI Apnea-Hypopnea Index	decimal	/h	OMOP:37396400	Measurement used to diagnose and assess the severity of sleep apnea. It is calculated by counting the number of apneas and hypopneas that occur per hour of sleep.
Measurement Observation	Albumin creatinine ratio in urine	decimal	mg/g{creat}	OMOP:4154347	Measurement of the ratio of albumin to creatinine in urine. Also known as uACR.
Measurement Observation	Albumin in blood	decimal	g/dL	OBA:2050068	Measurement of albumin in blood serum
Measurement Observation	Albumin in urine	decimal	mg/L	OBA:VT0002871	Concentration of albumin in urine
Measurement Observation	Alcohol	integer	{#}/wk	OMOP:35609491	Servings of alcohol consumed per week
Measurement Observation	ALT SGPT	decimal	[IU]/L	OBA:2050062	Concentration of ALT/SGPT in the blood. ALT, or alanine transaminase, is the same as SGPT, which stands for serum glutamic-pyruvic transaminase. Typically measured in serum or plasma.
Condition	Angina	Uriorcurie			
Drug Exposure	Aspirin	Uriorcurie			
Measurement Observation	AST SGOT	decimal	[IU]/L	OMOP:4263457	Concentration of AST/SGOT in blood. AST (aspartate aminotransferase), also known as SGOT (Serum Glutamic Oxaloacetic Transaminase), is typically measured in serum or plasma.
Condition	Asthma	Uriorcurie			
Condition	Atrial fibrillation	Uriorcurie			
Measurement Observation	basophils count	decimal	10*3/uL	OBA:VT0002607	Concentration of basophil cells in whole blood
Measurement Observation	Bilirubin Conjugated Direct	decimal	mg/dL	OMOP:44805650	Concentration of conjugated (or direct) bilirubin in blood, typically measured in serum or plasma
Measurement Observation	Bilirubin total	decimal	mg/dL	OMOP:4230543	Concentration of total bilirubin in blood, typically measured in serum or plasma
Measurement Observation	BMI	decimal	kg/m2	OBA:2045455	Also known as body mass index: ratio of a person's weight in kilos to the square of their height in meters
Measurement Observation	BNP	decimal	pg/mL	OBA:2045303	Concentration of BNP in blood, typically measured in plasma or whole blood. Also known as B-type natriuretic peptide, a hormone.
Measurement Observation	Body weight	decimal	kg	OBA:VT0001259	Mass of a person or other organism
Measurement Observation	BUN	decimal	mg/dL	OBA:VT0005265	Concentration of blood urea nitrogen in blood, typically measured in serum or plasma
